timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1540168017.623,225.098,21.484,30.273,19.531,31.250,0
1540168017.627,220.703,21.484,32.227,16.602,51.758,0
1540168017.631,221.680,20.508,33.691,17.578,77.148,0
1540168017.635,231.445,20.508,33.203,20.996,76.172,0
1540168017.639,233.887,20.996,33.203,19.531,40.527,0
1540168017.643,226.562,19.531,33.691,21.484,-3.418,0
1540168017.647,225.098,24.902,29.785,25.391,84.961,0
1540168017.651,226.562,25.391,25.391,22.949,36.133,0
1540168017.655,226.562,26.855,30.273,20.508,-42.969,0
1540168017.659,223.633,29.785,34.180,23.926,44.922,0
1540168017.663,222.168,25.391,32.227,24.902,33.691,0
1540168017.666,214.355,22.949,28.809,19.043,-48.340,0
1540168017.670,215.820,23.438,25.391,16.602,-23.926,0
1540168017.674,218.262,25.391,23.926,17.090,24.902,0
1540168017.678,215.820,26.855,26.855,18.066,33.203,0
1540168017.682,220.215,23.926,28.320,20.996,55.176,0
1540168017.686,230.469,21.973,27.832,25.391,-13.672,0
1540168017.690,232.910,22.949,26.855,22.949,-72.266,0
1540168017.694,234.863,24.414,26.855,29.785,-46.875,0
1540168017.698,234.863,23.438,30.273,37.109,2.441,0
1540168017.702,225.098,22.949,31.738,25.879,1.953,0
